"id","edu_21","mother_edu_21","father_edu_21","age_21","race_hisp_21","ppracem.x","job_21","income_21","current_student_type_21","current_student_21","current_student1_21","college_degree_with_current_21","college_degree_obtained_21","first_gen_21","edu_20","mother_edu_20","father_edu_20","age_20","race_hisp_20","ppracem.y","job_20","income_20","current_student_type_20","current_student_20","current_student1_20","college_degree_with_current_20","college_degree_obtained_20","first_gen_20","edu_19","mother_edu_19","father_edu_19","age_19","race_hisp_19","ppracem","job_19","income_19","current_student_type_19","current_student_19","current_student1_19","college_degree_with_current_19","college_degree_obtained_19","first_gen_19"
112,"Master’s degree","Associate degree","Graduate degree","45-54","White, Non-Hispanic","White","Computer and Mathematical","$200,000 or higher","No",NA,"0","1","1","cont_edu","Bachelor’s degree","Associate degree","Associate degree","45-54","White, Non-Hispanic","White","Protective Service","$150,000 to $199,999","No",NA,"0","1","1","first_gen",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
114,"Master’s degree","Bachelor’s degree","Bachelor’s degree","45-54","White, Non-Hispanic","White","Management","$200,000 or higher","No",NA,"0","1","1","cont_edu","Master’s degree","High school degree or GED","Some college but no degree","45-54","White, Non-Hispanic","White","Education, Training, and Library","$100,000 to $149,999","No",NA,"0","1","1","first_gen",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
115,"Bachelor’s degree","Some college but no degree","Bachelor’s degree","45-54","White, Non-Hispanic","White","Management","$200,000 or higher","No",NA,"0","1","1","cont_edu",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
123,"Bachelor’s degree","High school degree or GED","Bachelor’s degree","55-64","White, Non-Hispanic","White","Management","$100,000 to $149,999","No",NA,"0","1","1","cont_edu","Bachelor’s degree","Some college but no degree","Certificate or technical degree","45-54","2+ Races, Non-Hispanic","2+ races","Business Operations (including Marketing)","$150,000 to $199,999","No",NA,"0","1","1","first_gen",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
124,"Bachelor’s degree","Less than High School degree","Less than High School degree","55-64","White, Non-Hispanic","White","Computer and Mathematical","$100,000 to $149,999","No",NA,"0","1","1","first_gen",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
129,"Bachelor’s degree","Graduate degree","Graduate degree","25-34","White, Non-Hispanic","White","Office and Administrative Support","$100,000 to $149,999","No",NA,"0","1","1","cont_edu",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
130,"Master’s degree","Bachelor’s degree","Graduate degree","25-34","Other, Non-Hispanic","Asian","Financial Operations or Financial Services (including Financial Advisor, Broker)","$50,000 to $74,999","No",NA,"0","1","1","cont_edu",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
135,"Master’s degree","Graduate degree","Graduate degree","45-54","White, Non-Hispanic","White","Management","$150,000 to $199,999","No",NA,"0","1","1","cont_edu",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Graduate degree","Bachelor’s degree","Graduate degree","55-64","White, Non-Hispanic","White","Education, Training, and Library","$200,000 or higher","No",NA,"0","1","1","cont_edu"
142,"Bachelor’s degree","High school degree or GED","High school degree or GED","35-44","Black, Non-Hispanic","Black or African American","Management","$100,000 to $149,999","No",NA,"0","1","1","first_gen",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
143,"Bachelor’s degree","Bachelor’s degree","Bachelor’s degree","25-34","Black, Non-Hispanic","Black or African American","Sales","$25,000 to $39,999","No",NA,"0","1","1","cont_edu",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
145,"Bachelor’s degree","Less than High School degree","Less than High School degree","45-54","Hispanic","White","Management","$200,000 or higher","Yes, as a full-time student","Professional degree (e.g., MBA, MD, JD)","1","1","1","first_gen",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
150,"Master’s degree","Bachelor’s degree","Bachelor’s degree","55-64","Black, Non-Hispanic","Black or African American","Management","$150,000 to $199,999","No",NA,"0","1","1","cont_edu",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
154,"Bachelor’s degree","High school degree or GED","Less than High School degree","45-54","Other, Non-Hispanic","Asian","Education, Training, and Library","$75,000 to $99,999","No",NA,"0","1","1","first_gen",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
159,"Bachelor’s degree","Some college but no degree","Bachelor’s degree","55-64","White, Non-Hispanic","White","Transportation and Material Moving","$150,000 to $199,999","No",NA,"0","1","1","cont_edu","Master’s degree","Some college but no degree","Graduate degree","55-64","White, Non-Hispanic","White","Education, Training, and Library","$100,000 to $149,999","No",NA,"0","1","1","cont_edu",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
164,"Master’s degree","Graduate degree","Graduate degree","45-54","Other, Non-Hispanic","Asian","Computer and Mathematical","$150,000 to $199,999","Yes, as a part-time student","Master’s degree","1","1","1","cont_edu","Master’s degree","High school degree or GED","Associate degree","45-54","White, Non-Hispanic","White","Financial Operations or Financial Services (including Financial Advisor, Broker)","$75,000 to $99,999","No",NA,"0","1","1","first_gen",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
167,"Bachelor’s degree","High school degree or GED","High school degree or GED","45-54","White, Non-Hispanic","White","Health Diagnosing or Treating Practitioner (such as physician, nurse, dentist, veterinarian, pharmacist)","$100,000 to $149,999","No",NA,"0","1","1","first_gen",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
171,"Bachelor’s degree","Don’t know","Don’t know","45-54","Other, Non-Hispanic","Asian","Sales","$150,000 to $199,999","No",NA,"0","1","1","first_gen","Bachelor’s degree","Bachelor’s degree","Some college but no degree","25-34","White, Non-Hispanic","White","Financial Operations or Financial Services (including Financial Advisor, Broker)","$100,000 to $149,999","No",NA,"0","1","1","cont_edu",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
178,"Master’s degree","Associate degree","Bachelor’s degree","25-34","Hispanic","2+ races","Arts, Design, Entertainment, Sports, and Media","$50,000 to $74,999","No",NA,"0","1","1","cont_edu",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
179,"Bachelor’s degree","Bachelor’s degree","Some college but no degree","25-34","White, Non-Hispanic","White","Management","$100,000 to $149,999","Yes, as a full-time student","Master’s degree","1","1","1","cont_edu",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
186,"Bachelor’s degree","High school degree or GED","Less than High School degree","65-74","White, Non-Hispanic","White","Arts, Design, Entertainment, Sports, and Media","$40,000 to $49,999","No",NA,"0","1","1","first_gen",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
187,"Bachelor’s degree","Bachelor’s degree","Graduate degree","55-64","Other, Non-Hispanic","Asian","Computer and Mathematical","$200,000 or higher","No",NA,"0","1","1","cont_edu","Bachelor’s degree","Bachelor’s degree","Bachelor’s degree","18-24","White, Non-Hispanic","White","Education, Training, and Library","$75,000 to $99,999","Yes, as a part-time student","Master�s degree","0","1","1","cont_edu",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
192,"Master’s degree","Bachelor’s degree","Graduate degree","55-64","White, Non-Hispanic","White","Education, Training, and Library","$75,000 to $99,999","No",NA,"0","1","1","cont_edu",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
195,"Master’s degree","Bachelor’s degree","Graduate degree","35-44","Hispanic","White","Education, Training, and Library","$150,000 to $199,999","No",NA,"0","1","1","cont_edu",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
200,"Bachelor’s degree","High school degree or GED","Some college but no degree","55-64","White, Non-Hispanic","White","Education, Training, and Library","$200,000 or higher","No",NA,"0","1","1","first_gen",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
202,"Bachelor’s degree","Bachelor’s degree","Bachelor’s degree","35-44","White, Non-Hispanic","White","Business Operations (including Marketing)","$200,000 or higher","No",NA,"0","1","1","cont_edu",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
218,"Bachelor’s degree","Some college but no degree","High school degree or GED","35-44","White, Non-Hispanic","White","Business Operations (including Marketing)","$75,000 to $99,999","No",NA,"0","1","1","first_gen",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
220,"Bachelor’s degree","Associate degree","Graduate degree","25-34","White, Non-Hispanic","White","Architecture and Engineering","$75,000 to $99,999","No",NA,"0","1","1","cont_edu","Master’s degree","High school degree or GED","High school degree or GED","55-64","White, Non-Hispanic","White","Management","$150,000 to $199,999","No",NA,"0","1","1","first_gen",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
224,"Master’s degree","High school degree or GED","High school degree or GED","55-64","White, Non-Hispanic","White","Management","$200,000 or higher","No",NA,"0","1","1","first_gen",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
226,"Master’s degree","High school degree or GED","High school degree or GED","55-64","White, Non-Hispanic","White","Management","$200,000 or higher","No",NA,"0","1","1","first_gen",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
230,"Bachelor’s degree","Bachelor’s degree","Graduate degree","25-34","White, Non-Hispanic","White","Office and Administrative Support","$150,000 to $199,999","No",NA,"0","1","1","cont_edu",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
231,"Bachelor’s degree","Less than High School degree","Less than High School degree","45-54","Hispanic","White","Financial Operations or Financial Services (including Financial Advisor, Broker)","$100,000 to $149,999","No",NA,"0","1","1","first_gen","Bachelor’s degree","Less than High School degree","Less than High School degree","45-54","Hispanic","White","Management","$25,000 to $39,999","No",NA,"0","1","1","first_gen",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
233,"Bachelor’s degree","Associate degree","High school degree or GED","65-74","White, Non-Hispanic","White","Computer and Mathematical","$150,000 to $199,999","No",NA,"0","1","1","first_gen","Master’s degree","High school degree or GED","Bachelor’s degree","55-64","Other, Non-Hispanic","Asian","Management","$100,000 to $149,999","No",NA,"0","1","1","cont_edu",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
241,"Master’s degree","High school degree or GED","Bachelor’s degree","65-74","White, Non-Hispanic","White","Management","$200,000 or higher","No",NA,"0","1","1","cont_edu",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
243,"Bachelor’s degree","Associate degree","Bachelor’s degree","25-34","White, Non-Hispanic","White","Health Technologist or Technician (such as paramedic, lab technician)","$50,000 to $74,999","No",NA,"0","1","1","cont_edu",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
246,"Bachelor’s degree","High school degree or GED","High school degree or GED","55-64","White, Non-Hispanic","White","Management","$200,000 or higher","No",NA,"0","1","1","first_gen",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
269,"Bachelor’s degree","Some college but no degree","High school degree or GED","55-64","White, Non-Hispanic","White","Health Diagnosing or Treating Practitioner (such as physician, nurse, dentist, veterinarian, pharmacist)","$50,000 to $74,999","No",NA,"0","1","1","first_gen",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
275,"Bachelor’s degree","Don’t know","High school degree or GED","35-44","White, Non-Hispanic","White","Business Operations (including Marketing)","$0","No",NA,"0","1","1","first_gen",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
287,"Bachelor’s degree","Graduate degree","Bachelor’s degree","35-44","White, Non-Hispanic","White","Sales","$100,000 to $149,999","No",NA,"0","1","1","cont_edu",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
294,"Master’s degree","Less than High School degree","Don’t know","45-54","Other, Non-Hispanic","Asian","Office and Administrative Support","$150,000 to $199,999","No",NA,"0","1","1","first_gen",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
300,"Bachelor’s degree","High school degree or GED","High school degree or GED","55-64","White, Non-Hispanic","White","Education, Training, and Library","$75,000 to $99,999","No",NA,"0","1","1","first_gen",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
316,"Master’s degree","Less than High School degree","Less than High School degree","45-54","Other, Non-Hispanic","Asian","Education, Training, and Library","$150,000 to $199,999","No",NA,"0","1","1","first_gen","Bachelor’s degree","Graduate degree","Bachelor’s degree","25-34","White, Non-Hispanic","White","Health Diagnosing or Treating Practitioner (such as physician, nurse, dentist, v","$1 to $4,999","No",NA,"0","1","1","cont_edu",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
319,"Bachelor’s degree","Graduate degree","Less than High School degree","35-44","White, Non-Hispanic","White","Management","$100,000 to $149,999","No",NA,"0","1","1","cont_edu",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
323,"Bachelor’s degree","Bachelor’s degree","Graduate degree","65-74","White, Non-Hispanic","White","Personal Care and Service","$75,000 to $99,999","No",NA,"0","1","1","cont_edu",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
324,"Bachelor’s degree","Bachelor’s degree","Associate degree","45-54","White, Non-Hispanic","White","Transportation and Material Moving","$150,000 to $199,999","No",NA,"0","1","1","cont_edu",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
327,"Bachelor’s degree","High school degree or GED","Some college but no degree","65-74","White, Non-Hispanic","White","Computer and Mathematical","$75,000 to $99,999","No",NA,"0","1","1","first_gen",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
331,"Bachelor’s degree","Some college but no degree","Some college but no degree","45-54","White, Non-Hispanic","White","Business Operations (including Marketing)","$100,000 to $149,999","No",NA,"0","1","1","first_gen",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
334,"Bachelor’s degree","Bachelor’s degree","Graduate degree","45-54","White, Non-Hispanic","White","Precision Production (such as machinist, welder, baker, printer, tailor)","$40,000 to $49,999","No",NA,"0","1","1","cont_edu",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
336,"Bachelor’s degree","High school degree or GED","Some college but no degree","65-74","White, Non-Hispanic","White","Financial Operations or Financial Services (including Financial Advisor, Broker)","$50,000 to $74,999","No",NA,"0","1","1","first_gen",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
337,"Master’s degree","Graduate degree","Bachelor’s degree","55-64","White, Non-Hispanic","White","Management","$75,000 to $99,999","No",NA,"0","1","1","cont_edu",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
